Team,Conference,,,,
Cincinnati ,American ,,,,
 East Carolina ,American ,,,,
 Houston ,American ,,,,
 Memphis ,American ,,,,
 Navy ,American ,,,,
 SMU ,American ,,,,
 South Florida ,American ,,,,
 Temple ,American ,,,,
 Tulane ,American ,,,,
 Tulsa ,American ,,,,
 UCF,American ,,,,
Boston College,ACC,,,,
Clemson,ACC,,,,
Duke,ACC,,,,
Florida State,ACC,,,,
Georgia Tech,ACC,,,,
 Louisville ,ACC,,,,
 Miami (FL) ,ACC,,,,
 NC State ,ACC,,,,
 North Carolina ,ACC,,,,
 Pittsburgh ,ACC,,,,
 Syracuse ,ACC,,,,
 Virginia ,ACC,,,,
 Virginia Tech ,ACC,,,,
 Wake Forest,ACC,,,,
Baylor ,Big 12,,,,
 Iowa State ,Big 12,,,,
 Kansas ,Big 12,,,,
 Kansas State ,Big 12,,,,
 Oklahoma ,Big 12,,,,
 Oklahoma State ,Big 12,,,,
 TCU ,Big 12,,,,
 Texas ,Big 12,,,,
 Texas Tech ,Big 12,,,,
 West Virginia,Big 12,,,,
Illinois ,Big Ten,,,,
 Indiana ,Big Ten,,,,
 Iowa ,Big Ten,,,,
 Maryland ,Big Ten,,,,
 Michigan ,Big Ten,,,,
 Michigan State ,Big Ten,,,,
 Minnesota ,Big Ten,,,,
 Nebraska ,Big Ten,,,,
 Northwestern ,Big Ten,,,,
 Ohio State ,Big Ten,,,,
 Penn State ,Big Ten,,,,
 Purdue ,Big Ten,,,,
 Rutgers ,Big Ten,,,,
 Wisconsin,Big Ten,,,,
Charlotte ,Conference USA,,,,
 FIU ,Conference USA,,,,
 Florida Atlantic ,Conference USA,,,,
 Marshall ,Conference USA,,,,
 Middle Tennessee ,Conference USA,,,,
 Old Dominion ,Conference USA,,,,
 Western Kentucky ,Conference USA,,,,
 Louisiana Tech ,Conference USA,,,,
 North Texas ,Conference USA,,,,
 Rice ,Conference USA,,,,
 Southern Miss ,Conference USA,,,,
 UAB ,Conference USA,,,,
 UTEP ,Conference USA,,,,
 UTSA,Conference USA,,,,
Akron ,Mid American,,,,
 Ball State ,Mid American,,,,
 Bowling Green ,Mid American,,,,
 Buffalo ,Mid American,,,,
 Central Michigan ,Mid American,,,,
 Eastern Michigan ,Mid American,,,,
 Kent State ,Mid American,,,,
 Miami (OH) ,Mid American,,,,
 Northern Illinois ,Mid American,,,,
 Ohio ,Mid American,,,,
 Toledo ,Mid American,,,,
 Western Michigan,Mid American,,,,
Air Force ,Mountain West,,,,
 Boise State ,Mountain West,,,,
 Colorado State ,Mountain West,,,,
 New Mexico ,Mountain West,,,,
 Utah State ,Mountain West,,,,
 Wyoming ,Mountain West,,,,
 Fresno State ,Mountain West,,,,
 Hawaiʻi ,Mountain West,,,,
 Nevada ,Mountain West,,,,
 San Diego State ,Mountain West,,,,
 San Jose State ,Mountain West,,,,
 UNLV,Mountain West,,,,
Arizona ,Pac 12,,,,
 Arizona State ,Pac 12,,,,
 California ,Pac 12,,,,
 Colorado ,Pac 12,,,,
 Oregon ,Pac 12,,,,
 Oregon State ,Pac 12,,,,
 Stanford ,Pac 12,,,,
 UCLA ,Pac 12,,,,
 USC ,Pac 12,,,,
 Utah ,Pac 12,,,,
 Washington ,Pac 12,,,,
 Washington State,Pac 12,,,,
Alabama ,SEC,,,,
 Arkansas ,SEC,,,,
 Auburn ,SEC,,,,
 Florida ,SEC,,,,
 Georgia ,SEC,,,,
 Kentucky ,SEC,,,,
 LSU ,SEC,,,,
 Mississippi State ,SEC,,,,
 Missouri ,SEC,,,,
 Ole Miss ,SEC,,,,
 South Carolina ,SEC,,,,
 Tennessee ,SEC,,,,
 Texas A&M ,SEC,,,,
 Vanderbilt,SEC,,,,
Appalachian State ,Sun Belt,,,,
 Arkansas State ,Sun Belt,,,,
 Coastal Carolina ,Sun Belt,,,,
 Georgia Southern ,Sun Belt,,,,
 Georgia State ,Sun Belt,,,,
 Louisiana ,Sun Belt,,,,
 Louisiana-Monroe ,Sun Belt,,,,
 South Alabama ,Sun Belt,,,,
 Texas State ,Sun Belt,,,,
 Troy,Sun Belt,,,,
Army ,Independent,,,,
 BYU ,Independent,,,,
 Liberty ,Independent,,,,
 New Mexico State ,Independent,,,,
 Notre Dame ,Independent,,,,
 UConn ,Independent,,,,
 UMass,Independent,,,,
